,position,company name,yoe,ctc,location
0,Data Science/Data Analyst,Findoc Finvest Private Limited,4-7 Yrs,Not disclosed,Gurgaon/Gurugram
1,Python Trainer & Data Science Trainer,CQS TRAINING PRIVATE LIMITED,0-4 Yrs,"2,50,000 - 3,00,000 PA.",New Delhi(B1 Block Janakpuri)
2,Analyst- Data Science,Accenture,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
3,Senior Analyst-Data Science,Accenture,2-6 Yrs,Not disclosed,Bangalore/Bengaluru
4,Senior Research Analyst / Asst Manager Data Science,TrizTeck Intellectual Property Solutions LLP,2-5 Yrs,"4,75,000 - 7,50,000 PA.",New Delhi(Greater Kailash)
5,Data science +  Python - NP Max 45 days,ERM Placement Services (P) Ltd.,3-5 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"
6,Opening with Data Science,Pricewater House Coopers Service Delivery Center    Bangalore Private Limited,2-5 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"
7,Specialist in VBA For Quantitative Analysis and Data Science,Gartner,1-3 Yrs,Not disclosed,Gurgaon/Gurugram
8,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
9,Senior Analyst - Data Science,Tiger Analytics India LLP,1-6 Yrs,Not disclosed,Chennai(WFH during Covid)
10,Looking For Part Time Data Science Trainer (WFH) with LetsUpgrade,ITM Edutech (India) Limited,0-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Navi Mumbai, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)"
11,Python / Data Analytics / Data Science Trainer @ TechVidya,TECHVIDYA CAREER PVT. LTD.,1-6 Yrs,"2,50,000 - 6,00,000 PA.",Noida(Sector-2 Noida)
12,Senior Director -  Data Science,Course5,10-15 Yrs,"25,00,000 - 40,00,000 PA.","Gurgaon/Gurugram, Bangalore/Bengaluru"
13,Senior Analyst - Data Science - IIT/NIT/IIM/XLRI/FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
14,Senior Analyst - Data Science - IIT/NIT/IIM/XLRI/FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
15,Expert Data Science,Novartis Healthcare,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad
16,Analyst: Data Science Insights,TIGER ANALYTICS INDIA CONSULTING PRIVATE LIMITED,1-4 Yrs,Not disclosed,Chennai
17,Job Support - Data Science/Data Analyst,LAVSUN Technologies Inc.,5-10 Yrs,"50,000 - 60,000 PA.",Remote
18,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
19,Data Science Manager- Artificial Intelligence,Spectral Consultants -Search and Recruitments Firm,9-14 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru"
0,ACN - Applied Intelligence - CC - Data Science (IN) - 09,Accenture,0-5 Yrs,Not disclosed,Gurgaon/Gurugram
1,Technology Analyst: Data Science | Machine Learning,Infosys,3-8 Yrs,Not disclosed,Bangalore/Bengaluru
2,Senior  Data Scientist - Analytics Organization- Data Science,PlaceMinds Consulting Pvt. Ltd,6-11 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru"
3,Sr Associate (Data Science),IHS Markit,4-5 Yrs,Not disclosed,Gurgaon/Gurugram
4,Technology Lead - Data Science / Machine Learning,Infosys,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
5,Data Science Consultant,Dell,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
6,Advisor Digital Analytics and Data Science,Dell,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
7,Lead Business Analyst - Data Science | Talent500,TALENT500 TECH (INDIA) PRIVATE LIMITED,6-11 Yrs,Not disclosed,Remote
8,Data Science Senior,Larsen & Toubro (L&T),4-6 Yrs,Not disclosed,"Mysore/Mysuru, Chennai, Hyderabad"
9,Technical Lead - Data Science,Talent Acceleration Corridor,6-8 Yrs,Not disclosed,"Gurgaon/Gurugram, Delhi / NCR"
10,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
11,ACN - Applied Intelligence - CC - Data Science - 10,Accenture,3-4 Yrs,Not disclosed,Gurgaon/Gurugram
12,ACN - Applied Intelligence - CC - Data Science (IN) - 10,Accenture,3-4 Yrs,Not disclosed,Gurgaon/Gurugram
13,ACN - Applied Intelligence - CC - Data Science (IN) - 10,Accenture,3-4 Yrs,Not disclosed,Gurgaon/Gurugram
14,"Principal, Quantitative Analytics and Data Science",Gartner,2-7 Yrs,Not disclosed,Gurgaon/Gurugram
15,Data Science Fresher | Geakminds | Chennai,Geakminds Technologies Private Limited,0-2 Yrs,Not disclosed,Chennai
16,Data Science : Analyst - Manager,Aye Finance (P) Ltd,0-3 Yrs,Not disclosed,Gurgaon/Gurugram
17,Manager Data Science,NEC CORPORATION INDIA PRIVATE LIMITED,8-13 Yrs,"9,00,000 - 19,00,000 PA.",Noida
18,Data Science Application Developer,Accenture,4-6 Yrs,Not disclosed,Bangalore/Bengaluru
19,Director Data Science,Optum,15-18 Yrs,Not disclosed,Noida
0,ACN - Applied Intelligence - GCP - Data Science - 07,Accenture,8-10 Yrs,Not disclosed,Gurgaon/Gurugram
1,Data Science Engineer,Texas Instruments,0-2 Yrs,Not disclosed,Bangalore/Bengaluru
2,Data Science - Intern,SMECLabs Trivandrum,1-3 Yrs,Not disclosed,Ernakulam
3,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
4,Data Science Lead,Larsen & Toubro (L&T),7-10 Yrs,Not disclosed,"Mysore/Mysuru, Chennai, Hyderabad"
5,Data Science Software Development Engineer,Accenture,4-6 Yrs,Not disclosed,Hyderabad/Secunderabad
6,Data Science Manager,Dreamz Consultants,11-16 Yrs,Not disclosed,"Noida, Pune, Bangalore/Bengaluru"
7,"Chief Architect(.Net, Azure, Data Science, Machine Learning, Big Data)",Mapps IT Services Pvt Ltd.,10-20 Yrs,Not disclosed,Remote
8,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Mumbai
9,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Mumbai
10,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Mumbai
11,Python -Data science Trainers,Nexgen Solutions,3-8 Yrs,Not disclosed,Chennai(WFH during Covid)
12,Head of Data Science,Mancer Consulting Services,20-25 Yrs,1 Cr and above PA.,"Bangalore/Bengaluru, Delhi / NCR"
13,Data Science Engineer - Machine/Deep Learning Models - R/Python/Scala,CarbyneTech India,4-8 Yrs,Not disclosed,Hyderabad/Secunderabad
14,Data Science Team - Research And Development Intern,Fractal Analytics,0-2 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru"
15,"Senior Specialist, Quantitative Analytics and Data Sciences",Gartner,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
16,Urgent Opening-Principal Consultant- Data Science,Wipro,10-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
17,"Advisor, Data Science",Dell,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
18,Lead Consultant - Big Data Analyst,Genpact,4-9 Yrs,"50,000 - 1,50,000 PA.","Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
19,Data Science,Capgemini,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
0,Data Science,Capgemini,4-6 Yrs,Not disclosed,Bangalore/Bengaluru
1,Manager - Machine Learning Engineer ( Data Science ) ( Females only ),Pylon Management Consulting Pvt Ltd,7-9 Yrs,Not disclosed,Remote
2,Analyst - Data Science - Python/Machine Learning/Analytics,Huquo Consulting Pvt. Ltd,4-6 Yrs,Not disclosed,Gurgaon/Gurugram
3,India Market Unit - Data Science Analyst - (Career Level 11),Accenture,2-4 Yrs,Not disclosed,Bangalore/Bengaluru
4,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
5,data science,FUTURES AND CAREERS,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
6,Data Science (OCR/Document Conversion) - Analyst / Senior Analyst,BLUCOGNITION PRIVATE LIMITED,1-4 Yrs,Not disclosed,Pune(WFH during Covid)
7,Data science-subha- Brillio,CHANGE LEADERS CONSULTING,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
8,Excellent opportunity For Data Science in Pune For a MNC,Peoplefy Infosolutions Pvt. Ltd.,0-4 Yrs,Not disclosed,Pune(Kharadi)
9,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,1-6 Yrs,Not disclosed,Bangalore/Bengaluru
10,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,1-6 Yrs,Not disclosed,Bangalore/Bengaluru
11,Hiring Freshers | Data Science Fresher,E-con systems India Pvt Ltd,0-0 Yrs,"4,25,000 - 6,00,000 PA.",Chennai
12,Data Science Quality Engineer (Tester),Accenture,6-8 Yrs,Not disclosed,Gurgaon/Gurugram
13,BUSINESS ANALYST -DATA SCIENCE-CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,0-2 Yrs,Not disclosed,Bangalore/Bengaluru
14,Data Science - Senior Data Scientist,Paytm,2-4 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru"
15,Data Science Application Lead,Accenture,8-10 Yrs,Not disclosed,Hyderabad/Secunderabad
16,Senior Manager Data Science,Optum,15-25 Yrs,Not disclosed,Hyderabad/Secunderabad
17,Lead - Data Science - BFSI | Fintech Pioneer | GGN,Unnati,5-8 Yrs,"25,00,000 - 30,00,000 PA.","Noida, New Delhi, Gurgaon/Gurugram"
18,Head of Data Science,Connexions,7-10 Yrs,Not disclosed,Gurgaon/Gurugram
19,Data Science - Associate Principal Consultant,Allstate,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
0,Data Science Job @ Applied Materials - Bangalore,Applied Materials,4-9 Yrs,Not disclosed,Bangalore/Bengaluru(Whitefield)
1,Data Science Application Developer,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
2,ACN - Applied Intelligence - GCP - Data Science - 08,Accenture,5-10 Yrs,Not disclosed,Gurgaon/Gurugram
3,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,4-9 Yrs,Not disclosed,Gurgaon/Gurugram
4,ACN - Applied Intelligence - GCP - Data Science - 07,Accenture,8-10 Yrs,Not disclosed,Gurgaon/Gurugram
5,ACN - Applied Intelligence - GCP - Data Science - 09,Accenture,2-6 Yrs,Not disclosed,Gurgaon/Gurugram
6,"Senior Analyst, Business Intelligence & Data Science",Ciena,8-12 Yrs,Not disclosed,Gurgaon/Gurugram
7,Data Science and Advanced Analytics Lead,"Qualcomm Technologies, Inc",2-6 Yrs,Not disclosed,Hyderabad/Secunderabad
8,Brand Technical Specialist - Data Science & Data Governance,IBM,10-15 Yrs,Not disclosed,Mumbai
9,Data Science Analyst Fresh Graduates,TELEMAN INSTITUTE OF WIRELESS TECHNOLOGIES PVT LTD D.,0-3 Yrs,"5,00,000 - 5,50,000 PA.","Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
10,Data Science – Delivery Lead,PlaceMinds Consulting Pvt. Ltd,7-12 Yrs,Not disclosed,"Mumbai, Pune"
11,Acon - Data Science ( Immediate joinees ),Pylon Management Consulting Pvt Ltd,1-4 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru(WFH during Covid)"
12,Con - Data Science ( ML Algorithms ),Pylon Management Consulting Pvt Ltd,4-7 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru(WFH during Covid)"
13,Expert Data Science,Novartis Healthcare,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad
14,Sr. Associate - Content Data Science,upGrad,1-5 Yrs,"7,00,000 - 15,00,000 PA.","Bangalore/Bengaluru, Mumbai (All Areas)"
15,Data Science Application Lead,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
16,Senior Data Science Engineer,Siemens,0-5 Yrs,Not disclosed,Bangalore/Bengaluru
17,Data Science Lead - Finance,Mad Street Den,2-6 Yrs,Not disclosed,Chennai
18,Junior Data Science Professional,Harmony Data Integration Technologies,1-3 Yrs,Not disclosed,Chandigarh
19,Data Science Application Developer,Accenture,8-10 Yrs,Not disclosed,Chennai
0,Data Science Head / Director,MAAHI COGNITIVE WELLBEING LLP,14-20 Yrs,"45,00,000 - 50,00,000 PA.",Hyderabad/Secunderabad(WFH during Covid)
